id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
54334,Très bel appartement  a louer,254811,Charlotte,,Quartier 5-1,46.914,-71.19565,Entire home/apt,100,2,73,2018-10-07,0.78,1,0
138381,Bed & Breakfast La California,675584,Mary,,Sillery,46.76843,-71.26636,Private room,165,1,125,2018-10-09,1.33,2,279
194287,To 3 km Old-Quebec - Quebec city,943484,Lyne,,Sillery,46.79658,-71.23909,Private room,55,2,159,2018-12-28,1.73,1,22
198548,Fabulous view in heart of Québec,960772,Marianne,,Saint-Roch,46.81233,-71.22545,Entire home/apt,150,15,42,2019-03-01,0.46,1,209
214967,Bel appartement Au bord du fleuve,1110010,Julie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80286,-71.21271,Private room,66,2,133,2019-02-18,1.67,1,360
268812,Apartment Old city Quebec condo,1408583,Émilie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81023,-71.21082,Entire home/apt,35,30,77,2019-02-07,0.87,1,0
280992,Wonderful HOUSE to rent in Quebec,1453611,Jean-François,,Cap-Rouge,46.76374,-71.35252,Entire home/apt,150,300,4,2015-08-03,0.07,1,365
286704,Cosy apartment downtown Québec city,1491727,Jérôme,,Saint-Roch,46.81564,-71.22232,Entire home/apt,90,6,9,2017-01-01,0.11,1,0
301443,Quebec City Apt. Monthly Rental,1562944,Patrice,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81396,-71.20707,Entire home/apt,40,30,16,2018-06-11,0.18,12,280
321029,latin quarter studio old-quebec,1764323,Gilles,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81443,-71.20698,Entire home/apt,28,31,126,2018-12-05,2.13,2,175
330502,Home sweet home!,1686119,Claire,,Vieux-Moulin,46.85134,-71.21403,Entire home/apt,88,3,33,2016-09-18,0.39,1,65
348043,Condo in Old-Quebec all included,1764323,Gilles,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81639,-71.20908,Entire home/apt,33,31,157,2019-01-24,1.92,2,178
502417,Super location in House 1915  Walkable Old Québec,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80636,-71.22687,Entire home/apt,68,2,157,2019-01-02,1.95,6,257
562682,New-York experience in typical apartment P.Q,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80749,-71.22662,Entire home/apt,79,3,76,2019-02-17,1.13,6,298
588889,Waterfront in Quebec City - Summer 2018,2904660,Mariane,,Lac-Saint-Charles,46.93219,-71.38034,Entire home/apt,225,7,3,2018-08-11,0.11,2,37
652744,Vintage Artistic entire 2.5 apt  Walkable to Old Q,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80771,-71.22705,Entire home/apt,79,2,95,2019-02-18,1.20,6,329
652815,Large Queen bedroom in house 1915,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80644,-71.2265,Private room,75,3,86,2019-03-06,1.10,6,362
652950,SUPER VIEW  on the city,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80691,-71.22627,Private room,68,3,67,2018-10-20,0.85,6,270
659635,Confortable TWIN BEDS with artistic walls,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80772,-71.22651,Private room,70,3,73,2019-02-18,0.93,6,365
661569,Large Charming Room w/ View,675584,Mary,,Sillery,46.76978,-71.26591,Private room,145,1,47,2018-10-14,0.68,2,279
676674,Quiet place around Québec City,3439637,Martin,,Duberger-Les Saules,46.80526,-71.31616,Private room,80,1,0,,,1,340
683504,A nice accommodation in Saint-Sacrement,3483772,Mélanie,,Saint-Sacrement,46.79558,-71.24493,Entire home/apt,35,10,2,2019-01-07,0.14,1,0
715626,Appartement de charme au coeur de Q,3687026,Laurence,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81595,-71.21403,Entire home/apt,90,6,5,2016-05-29,0.07,1,0
